age,income,education_years,experience,credit_score
37,70990,11,0,563
33,63869,13,5,646
41,50894,11,7,651
50,40295,13,19,697
32,60473,8,12,513
32,55902,14,3,709
50,63427,14,12,379
42,59527,11,2,587
30,65743,15,8,601
40,48783,16,7,713
30,69760,9,9,652
30,52963,13,16,509
37,81128,11,3,551
15,39662,11,3,669
17,45092,16,8,642
34,52968,14,15,592
24,57663,13,2,601
38,42741,7,-4,719
25,45194,15,10,598
20,56362,10,12,641
49,57842,14,16,866
32,41394,14,7,507
35,49634,13,7,464
20,82134,10,15,728
29,59418,4,0,582
36,56544,14,8,618
23,50570,19,10,571
38,51800,17,12,624
28,59202,14,7,809
32,34658,12,10,730
28,46139,16,-2,736
53,24971,11,6,508
34,55988,15,12,534
24,59707,15,5,366
43,42752,17,10,569
22,73609,22,12,745
32,31613,15,9,701
15,28034,12,10,627
31,53366,13,9,647
36,47938,8,8,581
42,75258,11,13,670
36,43116,12,10,726
33,66180,12,7,488
37,49422,14,11,679
20,47410,11,11,743
27,63254,17,0,608
30,48082,14,15,720
45,26354,13,8,931
38,72148,13,12,639
17,70701,14,15,689
35,40616,16,3,576
31,55937,11,6,668
28,57410,12,8,696
41,53910,13,6,669
45,53591,9,18,548
33,39925,15,5,670
26,49616,12,7,796
31,67590,16,11,694
38,58154,14,3,746
37,44440,14,11,626
30,61575,16,7,724
33,7271,13,8,677
23,67231,15,9,554
23,23904,13,14,681
39,44563,14,2,550
48,33204,12,11,586
34,30579,6,18,668
45,67412,13,10,679
38,46259,18,11,531
28,55197,16,13,755
38,49296,15,3,707
50,57155,17,18,579
34,51152,14,11,496
50,30755,14,18,635
8,55863,12,6,605
43,42593,13,19,661
35,26651,15,13,613
32,43578,17,11,449
35,72511,13,11,611
15,62753,15,7,619
32,44770,14,16,713
38,44761,15,10,580
38,45175,9,0,817
29,81151,7,4,458
26,55729,12,9,781
29,56450,10,11,627
44,44570,12,9,735
38,53581,13,16,657
29,46114,12,0,763
40,47054,18,10,611
38,48925,14,0,540
44,49441,14,13,792
27,60914,15,9,638
31,50779,10,12,672
31,60989,17,5,773
20,48789,13,16,546
37,51179,14,15,709
37,20026,10,12,591
30,63744,9,9,636
32,55197,16,12,657
20,64970,15,6,499
30,54499,13,14,572
31,57715,11,5,785
35,47906,17,15,738
33,66622,10,6,643
39,47621,18,10,674
53,59191,11,3,620
36,48958,15,12,785
37,40643,13,12,629
34,78710,15,10,673
15,47139,12,4,764
34,53261,13,8,572
35,49311,14,8,805
59,57435,10,3,496
33,52256,16,11,812
38,55474,12,11,612
34,86051,13,9,625
